"","X","pob","indiv","fruto","tiempo","sv","masa","l_cipsela","a_cisela","l_papus","altura_sitio","capitulos","altura_planta","prob_germ","germ","area_p","vol_c","pl_m","pl_v"
"69",71,"ca",2,3,4.110244,0.53524802907078,0.96,4.024,1.049,6.488,1350,1925,86,0.106034423935253,0,132.242653549551,1.73887688389424,0.00725938246271118,0.0131491378705789
"70",72,"cabal",2,1,3.422472,0.642810226058825,2.05,4.03,1.08,8.89,NA,1170,86,0.952049340009019,1,248.286664757774,1.84591816184037,0.00825658519357034,0.0074346246651677
"71",73,"cabal",2,1,3.402336,0.646614561289655,2.05,4.03,1.08,8.89,NA,1170,86,0.952049340009019,1,248.286664757774,1.84591816184037,0.00825658519357034,0.0074346246651677
"72",74,"cabal",2,1,3.430676,0.641273031903916,2.05,4.03,1.08,8.89,NA,1170,86,0.952049340009019,1,248.286664757774,1.84591816184037,0.00825658519357034,0.0074346246651677
"73",75,"cabal",2,2,3.036392,0.724544130006929,2.31,4.7,0.86,9.22,NA,1170,86,0.985368106536802,1,267.061764933423,1.36506913187457,0.00864968446747094,0.00511143604632013
"74",76,"cabal",2,2,3.005784,0.731922187356111,2.31,4.7,0.86,9.22,NA,1170,86,0.985368106536802,1,267.061764933423,1.36506913187457,0.00864968446747094,0.00511143604632013
"75",77,"cabal",2,2,2.983636,0.737355361042701,2.31,4.7,0.86,9.22,NA,1170,86,0.985368106536802,1,267.061764933423,1.36506913187457,0.00864968446747094,0.00511143604632013
"76",78,"cabal",2,3,3.072272,0.716082430201493,1.95,4.33,0.96,9.13,NA,1170,86,0.925441551814415,1,261.873424666019,1.56707668109305,0.00744634551019042,0.0059840996966058
"77",79,"cabal",2,3,3.071212,0.716329579332199,1.95,4.33,0.96,9.13,NA,1170,86,0.925441551814415,1,261.873424666019,1.56707668109305,0.00744634551019042,0.0059840996966058
"78",80,"cabal",2,3,3.05896,0.719198681904961,1.95,4.33,0.96,9.13,NA,1170,86,0.925441551814415,1,261.873424666019,1.56707668109305,0.00744634551019042,0.0059840996966058
"79",81,"candonga",2,1,5.906064,0.372498503233287,0.72,3.129,0.704,7.883,NA,25,115,0.0369934445670317,0,195.223873644062,0.608990849527285,0.00368807352584719,0.00311944865225662
"80",82,"candonga",2,1,5.95036,0.369725529211678,0.72,3.129,0.704,7.883,NA,25,115,0.0369934445670317,0,195.223873644062,0.608990849527285,0.00368807352584719,0.00311944865225662
"81",83,"candonga",2,1,5.549412,0.396438397437422,0.72,3.129,0.704,7.883,NA,25,115,0.0369934445670317,0,195.223873644062,0.608990849527285,0.00368807352584719,0.00311944865225662
"82",84,"candonga",2,2,3.165832,0.69492000838958,1.09,3.316,0.862,6.482,NA,25,115,0.179281968690132,0,131.998174809249,0.967584581467152,0.00825768993832806,0.00733028758060795
"83",85,"candonga",2,2,3.112188,0.706898169390795,1.09,3.316,0.862,6.482,NA,25,115,0.179281968690132,0,131.998174809249,0.967584581467152,0.00825768993832806,0.00733028758060795
"84",86,"candonga",2,2,3.150988,0.698193709401623,1.09,3.316,0.862,6.482,NA,25,115,0.179281968690132,0,131.998174809249,0.967584581467152,0.00825768993832806,0.00733028758060795
"85",87,"candonga",2,3,5.473044,0.401970091963449,0.6,3.122,0.902,7.541,NA,25,115,0.0213938135395164,0,178.651947263634,0.997483819326528,0.00335848564311806,0.00558339181075118
"86",88,"candonga",2,3,5.475076,0.401820906230343,0.6,3.122,0.902,7.541,NA,25,115,0.0213938135395164,0,178.651947263634,0.997483819326528,0.00335848564311806,0.00558339181075118
"87",89,"candonga",2,3,5.667408,0.388184510449927,0.6,3.122,0.902,7.541,NA,25,115,0.0213938135395164,0,178.651947263634,0.997483819326528,0.00335848564311806,0.00558339181075118
"88",90,"cb",3,1,2.296052,0.958166452676159,1.96,3.94,1.185,6.925,960,25,81,0.928618766577137,1,150.657039198307,2.17266519991366,0.0130096808647626,0.0144212657534961
"89",91,"cb",3,1,2.292712,0.959562300018494,1.96,3.94,1.185,6.925,960,25,81,0.928618766577137,1,150.657039198307,2.17266519991366,0.0130096808647626,0.0144212657534961
"90",92,"cb",3,1,2.280708,0.964612743060488,1.96,3.94,1.185,6.925,960,25,81,0.928618766577137,1,150.657039198307,2.17266519991366,0.0130096808647626,0.0144212657534961
"91",93,"cb",3,2,2.124088,1.03573863229772,1.91,4.11,1.238,6.725,960,25,81,0.911394745299226,1,142.080491254007,2.47367703353505,0.0134430841499933,0.0174103918961872
"92",94,"cb",3,2,2.093864,1.05068906098963,1.91,4.11,1.238,6.725,960,25,81,0.911394745299226,1,142.080491254007,2.47367703353505,0.0134430841499933,0.0174103918961872
