,pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta,prob_germ,germ
283,cm,7,2,3107704,,2.02,3.762,1.029,7.403,1170.0,600,79,0.9451902065265386,1
284,cm,7,2,3238180,,2.02,3.762,1.029,7.403,1170.0,600,79,0.9451902065265386,1
285,cm,7,3,2543004,,2.6,3.981,1.094,7.234,1170.0,600,79,0.9962119400105546,1
286,cm,7,3,2523928,,2.6,3.981,1.094,7.234,1170.0,600,79,0.9962119400105546,1
287,cm,7,3,2547440,,2.6,3.981,1.094,7.234,1170.0,600,79,0.9962119400105546,1
288,ca,7,1,2889232,,1.92,3.619,1.024,8.225,1350.0,1334,69,0.9151156428527543,1
289,ca,7,1,2883080,,1.92,3.619,1.024,8.225,1350.0,1334,69,0.9151156428527543,1
290,ca,7,1,2903844,,1.92,3.619,1.024,8.225,1350.0,1334,69,0.9151156428527543,1
291,ca,7,2,4413076,,0.69,3.864,1.021,7.593,1350.0,1334,69,0.03228776189021026,0
292,ca,7,2,4319816,,0.69,3.864,1.021,7.593,1350.0,1334,69,0.03228776189021026,0
293,ca,7,2,4227628,,0.69,3.864,1.021,7.593,1350.0,1334,69,0.03228776189021026,0
294,ca,7,3,2792472,,2.19,3.621,0.971,7.447,1350.0,1334,69,0.9745709138357231,1
295,ca,7,3,2823756,,2.19,3.621,0.971,7.447,1350.0,1334,69,0.9745709138357231,1
296,ca,7,3,2788300,,2.19,3.621,0.971,7.447,1350.0,1334,69,0.9745709138357231,1
297,cabal,7,1,2645784,,1.36,3.62,1.03,7.19,,560,60,0.4371155553033822,1
298,cabal,7,1,2640804,,1.36,3.62,1.03,7.19,,560,60,0.4371155553033822,1
299,cabal,7,1,2633068,,1.36,3.62,1.03,7.19,,560,60,0.4371155553033822,1
300,cabal,7,2,4390448,,0.63,3.68,0.86,7.76,,560,60,0.024552072586901362,0
301,cabal,7,2,4164912,,0.63,3.68,0.86,7.76,,560,60,0.024552072586901362,0
302,cabal,7,2,4195976,,0.63,3.68,0.86,7.76,,560,60,0.024552072586901362,0
303,cabal,7,3,3692680,,1.44,3.87,0.79,8.35,,560,60,0.5306935007674753,1
304,cabal,7,3,3723672,,1.44,3.87,0.79,8.35,,560,60,0.5306935007674753,1
305,cabal,7,3,3802456,,1.44,3.87,0.79,8.35,,560,60,0.5306935007674753,1
306,candonga,7,1,1939188,,2.33,4.44,0.929,6.816,,110,79,0.9866626917312082,1
307,candonga,7,1,1923048,,2.33,4.44,0.929,6.816,,110,79,0.9866626917312082,1
308,candonga,7,1,1922880,,2.33,4.44,0.929,6.816,,110,79,0.9866626917312082,1
309,candonga,7,2,3287368,,0.62,3.985,0.742,6.873,,110,79,0.023451815710170066,0
310,candonga,7,2,3283416,,0.62,3.985,0.742,6.873,,110,79,0.023451815710170066,0
311,candonga,7,2,3219304,,0.62,3.985,0.742,6.873,,110,79,0.023451815710170066,0
312,candonga,7,3,1881976,,2.65,4.256,1.065,6.877,,110,79,0.9970025289367358,1
313,candonga,7,3,1884688,,2.65,4.256,1.065,6.877,,110,79,0.9970025289367358,1
314,candonga,7,3,1852292,,2.65,4.256,1.065,6.877,,110,79,0.9970025289367358,1
315,ca,8,1,3001468,,1.88,4.057,0.953,7.764,1350.0,1440,81,0.8993350468439609,1
316,ca,8,1,2976588,,1.88,4.057,0.953,7.764,1350.0,1440,81,0.8993350468439609,1
317,ca,8,1,3027884,,1.88,4.057,0.953,7.764,1350.0,1440,81,0.8993350468439609,1
318,ca,8,2,2820604,,1.82,3.883,1.182,8.094,1350.0,1440,81,0.870794734881427,1
319,ca,8,2,2857796,,1.82,3.883,1.182,8.094,1350.0,1440,81,0.870794734881427,1
320,ca,8,2,2800200,,1.82,3.883,1.182,8.094,1350.0,1440,81,0.870794734881427,1
321,ca,8,3,3861536,,0.9,4.16,1.048,7.964,1350.0,1440,81,0.08212961791969016,0
322,ca,8,3,3838940,,0.9,4.16,1.048,7.964,1350.0,1440,81,0.08212961791969016,0
323,ca,8,3,3875140,,0.9,4.16,1.048,7.964,1350.0,1440,81,0.08212961791969016,0
324,cabal,8,1,2948124,,1.86,4.27,1.034,8.384,,232,73,0.8905046860149994,1
325,cabal,8,1,2980616,,1.86,4.27,1.034,8.384,,232,73,0.8905046860149994,1
326,cabal,8,1,2965204,,1.86,4.27,1.034,8.384,,232,73,0.8905046860149994,1
327,cabal,8,2,2881640,,1.72,4.256,0.844,7.752,,232,73,0.8081830835956528,1
328,cabal,8,2,2854968,,1.72,4.256,0.844,7.752,,232,73,0.8081830835956528,1
329,cabal,8,2,2862940,,1.72,4.256,0.844,7.752,,232,73,0.8081830835956528,1
330,cabal,8,3,2924908,,1.98,3.847,0.961,7.999,,232,73,0.9346011155287417,1
331,cabal,8,3,2906316,,1.98,3.847,0.961,7.999,,232,73,0.9346011155287417,1
332,cabal,8,3,2896448,,1.98,3.847,0.961,7.999,,232,73,0.9346011155287417,1
333,candonga,8,1,2508012,,2.12,3.851,1.002,6.32,,100,110,0.9650166786279444,1
334,candonga,8,1,2535036,,2.12,3.851,1.002,6.32,,100,110,0.9650166786279444,1
335,candonga,8,1,2521212,,2.12,3.851,1.002,6.32,,100,110,0.9650166786279444,1
336,candonga,8,2,2615684,,1.85,3.775,1.109,6.925,,100,110,0.8858395519470805,1
337,candonga,8,2,2594248,,1.85,3.775,1.109,6.925,,100,110,0.8858395519470805,1
338,candonga,8,2,2563636,,1.85,3.775,1.109,6.925,,100,110,0.8858395519470805,1
339,candonga,8,3,2829024,,1.68,3.578,0.882,6.75,,100,110,0.77735950640211,1
340,candonga,8,3,2779768,,1.68,3.578,0.882,6.75,,100,110,0.77735950640211,1
341,candonga,8,3,2798132,,1.68,3.578,0.882,6.75,,100,110,0.77735950640211,1
342,cb,9,1,2790588,,1.11,3.766,0.971,5.992,960.0,450,88,0.19352464673694758,0
343,cb,9,1,2787720,,1.11,3.766,0.971,5.992,960.0,450,88,0.19352464673694758,0
344,cb,9,1,2781504,,1.11,3.766,0.971,5.992,960.0,450,88,0.19352464673694758,0
345,cb,9,2,2692888,,1.33,4.03,1.036,6.427,960.0,450,88,0.4028019563843541,1
346,cb,9,2,2651760,,1.33,4.03,1.036,6.427,960.0,450,88,0.4028019563843541,1
347,cb,9,2,2711688,,1.33,4.03,1.036,6.427,960.0,450,88,0.4028019563843541,1
348,cb,9,3,3216768,,0.89,4.305,1.029,7.058,960.0,450,88,0.07865718944326275,0
349,cb,9,3,3199836,,0.89,4.305,1.029,7.058,960.0,450,88,0.07865718944326275,0
350,cb,9,3,3218848,,0.89,4.305,1.029,7.058,960.0,450,88,0.07865718944326275,0
351,cm,9,1,4578228,,0.7,3.83,0.806,6.259,1170.0,45,59,0.03378821973547005,0
352,cm,9,1,4466840,,0.7,3.83,0.806,6.259,1170.0,45,59,0.03378821973547005,0
353,cm,9,1,4289232,,0.7,3.83,0.806,6.259,1170.0,45,59,0.03378821973547005,0
354,cm,9,2,4278592,,1.03,3.839,0.908,7.105,1170.0,45,59,0.14147730499301658,0
355,cm,9,2,4207856,,1.03,3.839,0.908,7.105,1170.0,45,59,0.14147730499301658,0
356,cm,9,2,4111760,,1.03,3.839,0.908,7.105,1170.0,45,59,0.14147730499301658,0
357,cm,9,3,4254076,,0.72,3.948,0.942,6.853,1170.0,45,59,0.036993444567031665,0
358,cm,9,3,4205908,,0.72,3.948,0.942,6.853,1170.0,45,59,0.036993444567031665,0
359,cm,9,3,4179104,,0.72,3.948,0.942,6.853,1170.0,45,59,0.036993444567031665,0
360,ca,9,1,3476828,,1.56,4.247,1.166,7.138,1350.0,28,90,0.6652183007117376,1
361,ca,9,1,3386796,,1.56,4.247,1.166,7.138,1350.0,28,90,0.6652183007117376,1
362,ca,9,1,3421828,,1.56,4.247,1.166,7.138,1350.0,28,90,0.6652183007117376,1
363,ca,9,2,2814876,,2.3,4.901,1.087,7.8,1350.0,28,90,0.9846751483403364,1
364,ca,9,2,2858812,,2.3,4.901,1.087,7.8,1350.0,28,90,0.9846751483403364,1
365,ca,9,2,2839548,,2.3,4.901,1.087,7.8,1350.0,28,90,0.9846751483403364,1
366,ca,9,3,2586376,,2.16,4.319,0.962,7.71,1350.0,28,90,0.9708347019540443,1
367,ca,9,3,2655596,,2.16,4.319,0.962,7.71,1350.0,28,90,0.9708347019540443,1
368,ca,9,3,2649396,,2.16,4.319,0.962,7.71,1350.0,28,90,0.9708347019540443,1
369,cabal,9,1,3612544,,0.94,4.055,1.015,6.829,,240,80,0.09745262594929473,0
370,cabal,9,1,3662072,,0.94,4.055,1.015,6.829,,240,80,0.09745262594929473,0
371,cabal,9,1,3653180,,0.94,4.055,1.015,6.829,,240,80,0.09745262594929473,0
372,cabal,9,2,2915380,,1.55,4.065,0.877,7.015,,240,80,0.6546768060539612,1
373,cabal,9,2,2907184,,1.55,4.065,0.877,7.015,,240,80,0.6546768060539612,1
374,cabal,9,2,2921244,,1.55,4.065,0.877,7.015,,240,80,0.6546768060539612,1
375,cabal,9,3,3037580,,1.62,3.916,0.992,7.269,,240,80,0.7248185378883931,1
376,cabal,9,3,3004196,,1.62,3.916,0.992,7.269,,240,80,0.7248185378883931,1
377,cabal,9,3,3043192,,1.62,3.916,0.992,7.269,,240,80,0.7248185378883931,1
378,candonga,9,1,2271184,,1.91,4.153,0.968,6.661,,40,100,0.9113947452992259,1
379,candonga,9,1,2238932,,1.91,4.153,0.968,6.661,,40,100,0.9113947452992259,1
380,candonga,9,1,2264000,,1.91,4.153,0.968,6.661,,40,100,0.9113947452992259,1
381,candonga,9,2,2691596,,1.92,4.2,0.997,7.408,,40,100,0.9151156428527543,1
382,candonga,9,2,2695168,,1.92,4.2,0.997,7.408,,40,100,0.9151156428527543,1
383,candonga,9,2,2666716,,1.92,4.2,0.997,7.408,,40,100,0.9151156428527543,1
384,candonga,9,3,2613616,,1.94,4.163,0.985,6.951,,40,100,0.9221347757193249,1
385,candonga,9,3,2580380,,1.94,4.163,0.985,6.951,,40,100,0.9221347757193249,1
386,candonga,9,3,2617332,,1.94,4.163,0.985,6.951,,40,100,0.9221347757193249,1
387,cb,10,1,2663624,,2.37,3.369,1.142,7.141,960.0,4000,117,0.9889221244281099,1
388,cb,10,1,2595280,,2.37,3.369,1.142,7.141,960.0,4000,117,0.9889221244281099,1
389,cb,10,1,2605924,,2.37,3.369,1.142,7.141,960.0,4000,117,0.9889221244281099,1
390,cb,10,2,2678600,,2.25,4.216,1.115,7.453,960.0,4000,117,0.9806961410874439,1
391,cb,10,2,2682812,,2.25,4.216,1.115,7.453,960.0,4000,117,0.9806961410874439,1
392,cb,10,2,2729440,,2.25,4.216,1.115,7.453,960.0,4000,117,0.9806961410874439,1
393,cb,10,3,2155724,,2.05,4.04,0.947,7.367,960.0,4000,117,0.9520493400090186,1
394,cb,10,3,2184420,,2.05,4.04,0.947,7.367,960.0,4000,117,0.9520493400090186,1
395,cb,10,3,2142280,,2.05,4.04,0.947,7.367,960.0,4000,117,0.9520493400090186,1
396,cm,10,1,2637956,,1.85,4.098,0.98,6.286,1170.0,50,66,0.8858395519470805,1
397,cm,10,1,2647092,,1.85,4.098,0.98,6.286,1170.0,50,66,0.8858395519470805,1
398,cm,10,1,2609684,,1.85,4.098,0.98,6.286,1170.0,50,66,0.8858395519470805,1
399,cm,10,2,2518024,,1.45,4.101,0.849,6.27,1170.0,50,66,0.5423741726541897,1
400,cm,10,2,2503404,,1.45,4.101,0.849,6.27,1170.0,50,66,0.5423741726541897,1
401,cm,10,2,2471752,,1.45,4.101,0.849,6.27,1170.0,50,66,0.5423741726541897,1
402,cm,10,3,2341644,,1.62,4.154,0.865,6.355,1170.0,50,66,0.7248185378883931,1
403,cm,10,3,2351556,,1.62,4.154,0.865,6.355,1170.0,50,66,0.7248185378883931,1
404,cm,10,3,2316336,,1.62,4.154,0.865,6.355,1170.0,50,66,0.7248185378883931,1
405,ca,10,1,3822632,,1.14,4.671,0.971,8.442,1350.0,149,62,0.21647270099493526,0
406,ca,10,1,3876444,,1.14,4.671,0.971,8.442,1350.0,149,62,0.21647270099493526,0
407,ca,10,1,3865384,,1.14,4.671,0.971,8.442,1350.0,149,62,0.21647270099493526,0
408,ca,10,2,3415388,,1.73,4.407,1.041,7.646,1350.0,149,62,0.8153601779748509,1
409,ca,10,2,3261884,,1.73,4.407,1.041,7.646,1350.0,149,62,0.8153601779748509,1
410,ca,10,2,3271184,,1.73,4.407,1.041,7.646,1350.0,149,62,0.8153601779748509,1
411,ca,10,3,2983020,,2.1,4.248,0.974,7.335,1350.0,149,62,0.9617025774355209,1
412,ca,10,3,2993576,,2.1,4.248,0.974,7.335,1350.0,149,62,0.9617025774355209,1
413,ca,10,3,3039440,,2.1,4.248,0.974,7.335,1350.0,149,62,0.9617025774355209,1
414,cabal,10,1,2039320,,2.05,3.79,0.97,6.23,,594,98,0.9520493400090186,1
415,cabal,10,1,2025196,,2.05,3.79,0.97,6.23,,594,98,0.9520493400090186,1
416,cabal,10,1,2054004,,2.05,3.79,0.97,6.23,,594,98,0.9520493400090186,1
417,cabal,10,2,2159512,,2.06,3.82,1.05,5.92,,594,98,0.9541488743705966,1
418,cabal,10,2,2146868,,2.06,3.82,1.05,5.92,,594,98,0.9541488743705966,1
419,cabal,10,2,2152300,,2.06,3.82,1.05,5.92,,594,98,0.9541488743705966,1
420,cabal,10,3,2208720,,1.74,3.6,1.0,6.11,,594,98,0.8223277679199639,1
421,cabal,10,3,2226536,,1.74,3.6,1.0,6.11,,594,98,0.8223277679199639,1
422,cabal,10,3,2225440,,1.74,3.6,1.0,6.11,,594,98,0.8223277679199639,1
423,candonga,10,1,3382008,,0.86,2.869,0.706,6.69,,150,97,0.06903165234090282,0
424,candonga,10,1,3363336,,0.86,2.869,0.706,6.69,,150,97,0.06903165234090282,0
425,candonga,10,1,3299808,,0.86,2.869,0.706,6.69,,150,97,0.06903165234090282,0
426,candonga,10,2,4871836,,0.73,3.469,0.644,6.702,,150,97,0.038703835987947854,0
427,candonga,10,2,4994380,,0.73,3.469,0.644,6.702,,150,97,0.038703835987947854,0
428,candonga,10,2,4619580,,0.73,3.469,0.644,6.702,,150,97,0.038703835987947854,0
429,candonga,10,3,4650120,,0.63,2.874,0.831,7.087,,150,97,0.024552072586901362,0
430,candonga,10,3,4373180,,0.63,2.874,0.831,7.087,,150,97,0.024552072586901362,0
431,candonga,10,3,4344240,,0.63,2.874,0.831,7.087,,150,97,0.024552072586901362,0
432,cb,11,1,2606712,,1.68,4.551,1.04,7.388,960.0,300,77,0.77735950640211,1
433,cb,11,1,2560392,,1.68,4.551,1.04,7.388,960.0,300,77,0.77735950640211,1
434,cb,11,1,2633756,,1.68,4.551,1.04,7.388,960.0,300,77,0.77735950640211,1
435,cb,11,2,2435772,,2.04,4.398,0.888,7.217,960.0,300,77,0.9498587195892417,1
436,cb,11,2,2457108,,2.04,4.398,0.888,7.217,960.0,300,77,0.9498587195892417,1
437,cb,11,2,2426280,,2.04,4.398,0.888,7.217,960.0,300,77,0.9498587195892417,1
438,cb,11,3,2599204,,1.97,4.409,0.972,7.334,960.0,300,77,0.9316705849790147,1
439,cb,11,3,2537448,,1.97,4.409,0.972,7.334,960.0,300,77,0.9316705849790147,1
440,cb,11,3,2560700,,1.97,4.409,0.972,7.334,960.0,300,77,0.9316705849790147,1
441,candonga,11,1,2806988,,2.0,4.028,1.065,7.081,,250,80,0.9401144260853254,1
442,candonga,11,1,2775316,,2.0,4.028,1.065,7.081,,250,80,0.9401144260853254,1
443,candonga,11,1,2786808,,2.0,4.028,1.065,7.081,,250,80,0.9401144260853254,1
444,candonga,11,2,2773376,,2.08,3.594,1.11,7.375,,250,80,0.9580881545555187,1
445,candonga,11,2,2801876,,2.08,3.594,1.11,7.375,,250,80,0.9580881545555187,1
446,candonga,11,2,2811716,,2.08,3.594,1.11,7.375,,250,80,0.9580881545555187,1
447,candonga,11,3,2867248,,2.14,3.979,0.887,7.352,,250,80,0.9680535178932612,1
448,candonga,11,3,2992296,,2.14,3.979,0.887,7.352,,250,80,0.9680535178932612,1
449,candonga,11,3,2885324,,2.14,3.979,0.887,7.352,,250,80,0.9680535178932612,1
450,candonga,12,1,3642900,,0.8,4.133,1.093,6.978,,30,75,0.05297456015830185,0
451,candonga,12,1,3624944,,0.8,4.133,1.093,6.978,,30,75,0.05297456015830185,0
452,candonga,12,1,3554300,,0.8,4.133,1.093,6.978,,30,75,0.05297456015830185,0
453,candonga,12,2,3390864,,1.12,4.129,1.208,8.112,,30,75,0.20096198023797407,0
454,candonga,12,2,3358700,,1.12,4.129,1.208,8.112,,30,75,0.20096198023797407,0
455,candonga,12,2,3489964,,1.12,4.129,1.208,8.112,,30,75,0.20096198023797407,0
456,candonga,12,3,2211432,,2.02,3.671,0.995,7.707,,30,75,0.9451902065265386,1
457,candonga,12,3,2252384,,2.02,3.671,0.995,7.707,,30,75,0.9451902065265386,1
458,candonga,12,3,2239088,,2.02,3.671,0.995,7.707,,30,75,0.9451902065265386,1
459,candonga,13,1,3418484,,1.47,3.723,0.746,7.372,,125,83,0.5655838401197493,1
460,candonga,13,1,3403256,,1.47,3.723,0.746,7.372,,125,83,0.5655838401197493,1
461,candonga,13,1,3369580,,1.47,3.723,0.746,7.372,,125,83,0.5655838401197493,1
462,candonga,13,2,4403544,,0.8,3.547,0.853,7.604,,125,83,0.05297456015830185,0
463,candonga,13,2,4371328,,0.8,3.547,0.853,7.604,,125,83,0.05297456015830185,0
464,candonga,13,2,4458636,,0.8,3.547,0.853,7.604,,125,83,0.05297456015830185,0
465,candonga,13,3,3819172,,0.54,3.554,0.933,7.62,,125,83,0.016224400437290596,0
466,candonga,13,3,3705364,,0.54,3.554,0.933,7.62,,125,83,0.016224400437290596,0
467,candonga,13,3,3782376,,0.54,3.554,0.933,7.62,,125,83,0.016224400437290596,0
468,candonga,14,1,4603868,,0.62,3.758,0.942,8.971,,25,80,0.023451815710170066,0
469,candonga,14,1,4478760,,0.62,3.758,0.942,8.971,,25,80,0.023451815710170066,0
470,candonga,14,1,4487712,,0.62,3.758,0.942,8.971,,25,80,0.023451815710170066,0
471,candonga,14,2,3068820,,1.68,3.282,1.084,8.331,,25,80,0.77735950640211,1
472,candonga,14,2,3046872,,1.68,3.282,1.084,8.331,,25,80,0.77735950640211,1
473,candonga,14,2,3059508,,1.68,3.282,1.084,8.331,,25,80,0.77735950640211,1
474,candonga,14,3,5186276,,0.57,3.611,0.96,8.799,,25,80,0.018634056680563775,0
475,candonga,14,3,5017956,,0.57,3.611,0.96,8.799,,25,80,0.018634056680563775,0
476,candonga,14,3,5028072,,0.57,3.611,0.96,8.799,,25,80,0.018634056680563775,0
477,candonga,15,1,4335564,,0.71,4.229,0.968,8.077,,300,90,0.035355858411313265,0
478,candonga,15,1,4307288,,0.71,4.229,0.968,8.077,,300,90,0.035355858411313265,0
479,candonga,15,1,4259788,,0.71,4.229,0.968,8.077,,300,90,0.035355858411313265,0
480,candonga,15,2,2947248,,1.88,4.071,0.838,8.036,,300,90,0.8993350468439609,1
481,candonga,15,2,2858304,,1.88,4.071,0.838,8.036,,300,90,0.8993350468439609,1
482,candonga,15,2,2839448,,1.88,4.071,0.838,8.036,,300,90,0.8993350468439609,1
483,candonga,15,3,3817536,,0.78,4.054,0.87,8.254,,300,90,0.04845435251399307,0
484,candonga,15,3,3957916,,0.78,4.054,0.87,8.254,,300,90,0.04845435251399307,0
485,candonga,15,3,3956132,,0.78,4.054,0.87,8.254,,300,90,0.04845435251399307,0
486,candonga,16,1,4788908,,0.58,3.86,0.741,7.412,,90,60,0.01951280168369287,0
487,candonga,16,1,4750352,,0.58,3.86,0.741,7.412,,90,60,0.01951280168369287,0
488,candonga,16,1,4698336,,0.58,3.86,0.741,7.412,,90,60,0.01951280168369287,0
489,candonga,16,2,4509828,,0.6,3.975,0.969,7.614,,90,60,0.021393813539516377,0
490,candonga,16,2,4698664,,0.6,3.975,0.969,7.614,,90,60,0.021393813539516377,0
491,candonga,16,2,4583372,,0.6,3.975,0.969,7.614,,90,60,0.021393813539516377,0
492,candonga,16,3,3861184,,1.42,3.729,0.759,8.08,,90,60,0.5072438022667056,1
493,candonga,16,3,3780144,,1.42,3.729,0.759,8.08,,90,60,0.5072438022667056,1
494,candonga,16,3,3804748,,1.42,3.729,0.759,8.08,,90,60,0.5072438022667056,1
495,candonga,17,1,3310988,,0.85,3.588,0.853,6.081,,50,114,0.06607313996603816,0
496,candonga,17,1,3264632,,0.85,3.588,0.853,6.081,,50,114,0.06607313996603816,0
497,candonga,17,1,3377064,,0.85,3.588,0.853,6.081,,50,114,0.06607313996603816,0
498,candonga,17,2,2569788,,1.47,3.662,0.791,6.427,,50,114,0.5655838401197493,1
499,candonga,17,2,2612972,,1.47,3.662,0.791,6.427,,50,114,0.5655838401197493,1
500,candonga,17,2,2594896,,1.47,3.662,0.791,6.427,,50,114,0.5655838401197493,1
501,candonga,17,3,3611988,,0.4,3.752,0.95,5.887,,50,114,0.008471493648308058,0
502,candonga,17,3,3609784,,0.4,3.752,0.95,5.887,,50,114,0.008471493648308058,0
503,candonga,17,3,3674700,,0.4,3.752,0.95,5.887,,50,114,0.008471493648308058,0
504,candonga,18,1,3080812,,1.06,3.558,0.853,6.265,,49,70,0.15947402539634573,0
505,candonga,18,1,3089916,,1.06,3.558,0.853,6.265,,49,70,0.15947402539634573,0
506,candonga,18,1,3097104,,1.06,3.558,0.853,6.265,,49,70,0.15947402539634573,0
507,candonga,18,2,2940960,,1.04,3.724,0.783,6.307,,49,70,0.14727969493317392,0
508,candonga,18,2,2882428,,1.04,3.724,0.783,6.307,,49,70,0.14727969493317392,0
509,candonga,18,2,2925528,,1.04,3.724,0.783,6.307,,49,70,0.14727969493317392,0
510,candonga,18,3,2474356,,1.03,3.893,0.845,6.52,,49,70,0.14147730499301658,0
511,candonga,18,3,2502404,,1.03,3.893,0.845,6.52,,49,70,0.14147730499301658,0
512,candonga,18,3,2599188,,1.03,3.893,0.845,6.52,,49,70,0.14147730499301658,0
513,candonga,19,1,2492828,,1.27,3.532,0.754,5.679,,20,65,0.3372311296628778,0
514,candonga,19,1,2480832,,1.27,3.532,0.754,5.679,,20,65,0.3372311296628778,0
515,candonga,19,1,2487096,,1.27,3.532,0.754,5.679,,20,65,0.3372311296628778,0
516,candonga,19,2,2998328,,1.16,3.765,0.897,6.541,,20,65,0.23283173704542806,0
517,candonga,19,2,2900488,,1.16,3.765,0.897,6.541,,20,65,0.23283173704542806,0
518,candonga,19,2,2941700,,1.16,3.765,0.897,6.541,,20,65,0.23283173704542806,0
519,candonga,19,3,2845592,,1.15,3.506,0.981,5.973,,20,65,0.22454639865006287,0
520,candonga,19,3,2831004,,1.15,3.506,0.981,5.973,,20,65,0.22454639865006287,0
521,candonga,19,3,2858652,,1.15,3.506,0.981,5.973,,20,65,0.22454639865006287,0
522,candonga,20,1,4212680,,0.58,3.402,0.904,6.117,,30,78,0.01951280168369287,0
523,candonga,20,1,4383652,,0.58,3.402,0.904,6.117,,30,78,0.01951280168369287,0
524,candonga,20,1,4467000,,0.58,3.402,0.904,6.117,,30,78,0.01951280168369287,0
525,candonga,20,2,3039988,,1.92,3.837,0.934,7.011,,30,78,0.9151156428527543,1
526,candonga,20,2,3007412,,1.92,3.837,0.934,7.011,,30,78,0.9151156428527543,1
527,candonga,20,2,3060580,,1.92,3.837,0.934,7.011,,30,78,0.9151156428527543,1
528,candonga,20,3,3073244,,1.07,3.327,0.808,6.573,,30,78,0.1658719075056821,0
529,candonga,20,3,3161204,,1.07,3.327,0.808,6.573,,30,78,0.1658719075056821,0
530,candonga,20,3,3102576,,1.07,3.327,0.808,6.573,,30,78,0.1658719075056821,0
