,pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta,prob_germ,germ
66,ca,2,2,3309456,,1.85,4.089,1.051,7.179,1350.0,1925,86,0.8858395519470805,1
67,ca,2,2,3422504,,1.85,4.089,1.051,7.179,1350.0,1925,86,0.8858395519470805,1
68,ca,2,2,3302120,,1.85,4.089,1.051,7.179,1350.0,1925,86,0.8858395519470805,1
69,ca,2,3,4241210,,0.96,4.024,1.049,6.488,1350.0,1925,86,0.10603442393525347,0
70,ca,2,3,4087652,,0.96,4.024,1.049,6.488,1350.0,1925,86,0.10603442393525347,0
71,ca,2,3,4110244,,0.96,4.024,1.049,6.488,1350.0,1925,86,0.10603442393525347,0
72,cabal,2,1,3422472,,2.05,4.03,1.08,8.89,,1170,86,0.9520493400090186,1
73,cabal,2,1,3402336,,2.05,4.03,1.08,8.89,,1170,86,0.9520493400090186,1
74,cabal,2,1,3430676,,2.05,4.03,1.08,8.89,,1170,86,0.9520493400090186,1
75,cabal,2,2,3036392,,2.31,4.7,0.86,9.22,,1170,86,0.9853681065368021,1
76,cabal,2,2,3005784,,2.31,4.7,0.86,9.22,,1170,86,0.9853681065368021,1
77,cabal,2,2,2983636,,2.31,4.7,0.86,9.22,,1170,86,0.9853681065368021,1
78,cabal,2,3,3072272,,1.95,4.33,0.96,9.13,,1170,86,0.9254415518144146,1
79,cabal,2,3,3071212,,1.95,4.33,0.96,9.13,,1170,86,0.9254415518144146,1
80,cabal,2,3,3058960,,1.95,4.33,0.96,9.13,,1170,86,0.9254415518144146,1
81,candonga,2,1,5906064,,0.72,3.129,0.704,7.883,,25,115,0.036993444567031665,0
82,candonga,2,1,5950360,,0.72,3.129,0.704,7.883,,25,115,0.036993444567031665,0
83,candonga,2,1,5549412,,0.72,3.129,0.704,7.883,,25,115,0.036993444567031665,0
84,candonga,2,2,3165832,,1.09,3.316,0.862,6.482,,25,115,0.1792819686901325,0
85,candonga,2,2,3112188,,1.09,3.316,0.862,6.482,,25,115,0.1792819686901325,0
86,candonga,2,2,3150988,,1.09,3.316,0.862,6.482,,25,115,0.1792819686901325,0
87,candonga,2,3,5473044,,0.6,3.122,0.902,7.541,,25,115,0.021393813539516377,0
88,candonga,2,3,5475076,,0.6,3.122,0.902,7.541,,25,115,0.021393813539516377,0
89,candonga,2,3,5667408,,0.6,3.122,0.902,7.541,,25,115,0.021393813539516377,0
90,cb,3,1,2296052,,1.96,3.94,1.185,6.925,960.0,25,81,0.9286187665771373,1
91,cb,3,1,2292712,,1.96,3.94,1.185,6.925,960.0,25,81,0.9286187665771373,1
92,cb,3,1,2280708,,1.96,3.94,1.185,6.925,960.0,25,81,0.9286187665771373,1
93,cb,3,2,2124088,,1.91,4.11,1.238,6.725,960.0,25,81,0.9113947452992259,1
94,cb,3,2,2093864,,1.91,4.11,1.238,6.725,960.0,25,81,0.9113947452992259,1
95,cb,3,2,2053328,,1.91,4.11,1.238,6.725,960.0,25,81,0.9113947452992259,1
96,cb,3,3,2150596,,2.31,3.966,1.005,6.749,960.0,25,81,0.9853681065368021,1
97,cb,3,3,2163896,,2.31,3.966,1.005,6.749,960.0,25,81,0.9853681065368021,1
98,cb,3,3,2148064,,2.31,3.966,1.005,6.749,960.0,25,81,0.9853681065368021,1
99,cm,3,1,2116408,,1.93,4.459,1.053,6.155,1170.0,60,81,0.9186942242944541,1
100,cm,3,1,2115968,,1.93,4.459,1.053,6.155,1170.0,60,81,0.9186942242944541,1
101,cm,3,1,2096028,,1.93,4.459,1.053,6.155,1170.0,60,81,0.9186942242944541,1
102,cm,3,2,2373168,,1.86,4.167,0.916,6.995,1170.0,60,81,0.8905046860149994,1
103,cm,3,2,2679336,,1.86,4.167,0.916,6.995,1170.0,60,81,0.8905046860149994,1
104,cm,3,2,2654916,,1.86,4.167,0.916,6.995,1170.0,60,81,0.8905046860149994,1
105,cm,3,3,2194856,,2.04,4.297,0.95,6.33,1170.0,60,81,0.9498587195892417,1
106,cm,3,3,2233856,,2.04,4.297,0.95,6.33,1170.0,60,81,0.9498587195892417,1
107,cm,3,3,2216760,,2.04,4.297,0.95,6.33,1170.0,60,81,0.9498587195892417,1
108,ca,3,1,2255720,,1.93,3.258,1.084,6.833,1350.0,54,53,0.9186942242944541,1
109,ca,3,1,2259360,,1.93,3.258,1.084,6.833,1350.0,54,53,0.9186942242944541,1
110,ca,3,1,2257444,,1.93,3.258,1.084,6.833,1350.0,54,53,0.9186942242944541,1
111,ca,3,2,2796100,,1.52,3.512,0.89,7.016,1350.0,54,53,0.6221617498658111,1
112,ca,3,2,2861324,,1.52,3.512,0.89,7.016,1350.0,54,53,0.6221617498658111,1
113,ca,3,2,2819764,,1.52,3.512,0.89,7.016,1350.0,54,53,0.6221617498658111,1
114,ca,3,3,2412324,,1.94,3.548,1.093,7.061,1350.0,54,53,0.9221347757193249,1
115,ca,3,3,2456772,,1.94,3.548,1.093,7.061,1350.0,54,53,0.9221347757193249,1
116,ca,3,3,2413220,,1.94,3.548,1.093,7.061,1350.0,54,53,0.9221347757193249,1
117,cabal,3,1,2278340,,2.01,3.41,0.98,6.45,,1230,69,0.9427050854987079,1
118,cabal,3,1,2246720,,2.01,3.41,0.98,6.45,,1230,69,0.9427050854987079,1
119,cabal,3,1,2255856,,2.01,3.41,0.98,6.45,,1230,69,0.9427050854987079,1
120,cabal,3,2,2815292,,1.3,3.25,1.02,6.36,,1230,69,0.3694141874489454,0
121,cabal,3,2,2836136,,1.3,3.25,1.02,6.36,,1230,69,0.3694141874489454,0
122,cabal,3,2,2779960,,1.3,3.25,1.02,6.36,,1230,69,0.3694141874489454,0
123,cabal,3,3,2321260,,2.0,3.3,0.97,6.31,,1230,69,0.9401144260853254,1
124,cabal,3,3,2372592,,2.0,3.3,0.97,6.31,,1230,69,0.9401144260853254,1
125,cabal,3,3,2328808,,2.0,3.3,0.97,6.31,,1230,69,0.9401144260853254,1
126,candonga,3,1,3995460,,0.76,4.693,1.134,7.258,,50,135,0.044301801650774686,0
127,candonga,3,1,4006444,,0.76,4.693,1.134,7.258,,50,135,0.044301801650774686,0
128,candonga,3,1,4003324,,0.76,4.693,1.134,7.258,,50,135,0.044301801650774686,0
129,candonga,3,2,4124124,,1.04,4.27,0.906,7.072,,50,135,0.14727969493317392,0
130,candonga,3,2,4003976,,1.04,4.27,0.906,7.072,,50,135,0.14727969493317392,0
131,candonga,3,2,4010956,,1.04,4.27,0.906,7.072,,50,135,0.14727969493317392,0
132,candonga,3,3,2486908,,2.6,4.25,0.892,7.259,,50,135,0.9962119400105546,1
133,candonga,3,3,2428492,,2.6,4.25,0.892,7.259,,50,135,0.9962119400105546,1
134,candonga,3,3,2404400,,2.6,4.25,0.892,7.259,,50,135,0.9962119400105546,1
135,cb,4,1,2155060,,2.07,3.574,1.149,6.786,960.0,150,101,0.9561607130455085,1
136,cb,4,1,2165408,,2.07,3.574,1.149,6.786,960.0,150,101,0.9561607130455085,1
137,cb,4,1,2131256,,2.07,3.574,1.149,6.786,960.0,150,101,0.9561607130455085,1
138,cb,4,2,2285756,,1.88,3.761,1.049,6.314,960.0,150,101,0.8993350468439609,1
139,cb,4,2,2287336,,1.88,3.761,1.049,6.314,960.0,150,101,0.8993350468439609,1
140,cb,4,2,2241160,,1.88,3.761,1.049,6.314,960.0,150,101,0.8993350468439609,1
141,cb,4,3,2076288,,2.14,3.676,1.006,6.494,960.0,150,101,0.9680535178932612,1
142,cb,4,3,2059056,,2.14,3.676,1.006,6.494,960.0,150,101,0.9680535178932612,1
143,cb,4,3,2065812,,2.14,3.676,1.006,6.494,960.0,150,101,0.9680535178932612,1
144,cm,4,1,3893452,,0.64,3.492,0.925,6.127,1170.0,90,60,0.025702590105683883,0
145,cm,4,1,3842488,,0.64,3.492,0.925,6.127,1170.0,90,60,0.025702590105683883,0
146,cm,4,1,3876520,,0.64,3.492,0.925,6.127,1170.0,90,60,0.025702590105683883,0
147,cm,4,2,4383796,,0.6,3.275,0.704,6.375,1170.0,90,60,0.021393813539516377,0
148,cm,4,2,4476344,,0.6,3.275,0.704,6.375,1170.0,90,60,0.021393813539516377,0
149,cm,4,2,4330032,,0.6,3.275,0.704,6.375,1170.0,90,60,0.021393813539516377,0
150,cm,4,3,2748700,,0.75,3.864,0.763,6.245,1170.0,90,60,0.04235492595848679,0
151,cm,4,3,2682760,,0.75,3.864,0.763,6.245,1170.0,90,60,0.04235492595848679,0
152,cm,4,3,2807032,,0.75,3.864,0.763,6.245,1170.0,90,60,0.04235492595848679,0
153,ca,4,1,4424120,,0.78,3.624,0.884,6.752,1350.0,572,66,0.04845435251399307,0
154,ca,4,1,4407748,,0.78,3.624,0.884,6.752,1350.0,572,66,0.04845435251399307,0
155,ca,4,1,4470152,,0.78,3.624,0.884,6.752,1350.0,572,66,0.04845435251399307,0
156,ca,4,2,3168060,,1.82,3.628,0.877,7.073,1350.0,572,66,0.870794734881427,1
157,ca,4,2,3157092,,1.82,3.628,0.877,7.073,1350.0,572,66,0.870794734881427,1
158,ca,4,2,3176048,,1.82,3.628,0.877,7.073,1350.0,572,66,0.870794734881427,1
159,ca,4,3,2982556,,1.86,3.634,0.803,6.888,1350.0,572,66,0.8905046860149994,1
160,ca,4,3,2966848,,1.86,3.634,0.803,6.888,1350.0,572,66,0.8905046860149994,1
161,ca,4,3,3112604,,1.86,3.634,0.803,6.888,1350.0,572,66,0.8905046860149994,1
162,cabal,4,1,3157360,,1.02,3.68,1.164,6.825,,385,63,0.13586708903101102,0
163,cabal,4,1,3139668,,1.02,3.68,1.164,6.825,,385,63,0.13586708903101102,0
164,cabal,4,1,3127348,,1.02,3.68,1.164,6.825,,385,63,0.13586708903101102,0
165,cabal,4,2,2185468,,1.93,3.533,0.948,6.555,,385,63,0.9186942242944541,1
166,cabal,4,2,2176432,,1.93,3.533,0.948,6.555,,385,63,0.9186942242944541,1
167,cabal,4,2,2193340,,1.93,3.533,0.948,6.555,,385,63,0.9186942242944541,1
168,cabal,4,3,2107668,,2.25,3.694,0.936,6.586,,385,63,0.9806961410874439,1
169,cabal,4,3,2133992,,2.25,3.694,0.936,6.586,,385,63,0.9806961410874439,1
170,cabal,4,3,2132548,,2.25,3.694,0.936,6.586,,385,63,0.9806961410874439,1
171,candonga,4,1,3217132,,2.19,4.756,0.937,8.214,,70,95,0.9745709138357231,1
172,candonga,4,1,3190428,,2.19,4.756,0.937,8.214,,70,95,0.9745709138357231,1
173,candonga,4,1,3238352,,2.19,4.756,0.937,8.214,,70,95,0.9745709138357231,1
174,candonga,4,2,3243276,,2.3,5.123,0.857,7.598,,70,95,0.9846751483403364,1
