pob,indiv,fruto,masa,germina
Candonga,2,5,1.95,1
Candonga,3,1,2.76,1
Candonga,3,2,2.2,1
Candonga,3,3,0.77,0
Candonga,3,4,2.32,1
Candonga,3,5,0.88,0
Candonga,4,1,1.28,0
Candonga,4,2,2.09,0
Candonga,4,3,2.25,1
Candonga,4,4,2.38,1
Candonga,4,5,2.73,1
Candonga,5,1,2.66,1
Candonga,5,2,1.99,1
Candonga,5,3,1.96,1
Candonga,5,4,1.32,0
Candonga,5,5,1.3,0
Candonga,6,1,2.19,1
Candonga,6,2,2.35,1
Candonga,6,3,2.68,1
Candonga,6,4,2.73,1
Candonga,6,5,1.54,0
Candonga,7,1,0.91,0
Candonga,7,2,1,0
Candonga,7,3,0.71,0
Candonga,7,4,0.91,0
Candonga,7,5,2.43,1
Candonga,8,1,1.9,1
Candonga,8,2,1.72,1
Candonga,8,3,1.81,1
Candonga,8,4,0.89,1
Candonga,8,5,1.73,0
Candonga,9,1,0.9,0
Candonga,9,2,2.01,1
Candonga,9,3,2.14,1
Candonga,9,4,1.8,1
Candonga,9,5,2.05,1
Candonga,10,1,1.62,1
Candonga,10,2,0.62,0
Candonga,10,3,1.55,1
Candonga,10,4,1.52,1
Candonga,10,5,1.5,1
Candonga,11,1,1.21,0
Candonga,11,2,1.12,0
Candonga,11,3,2.11,1
Candonga,11,4,0.88,0
Candonga,11,5,2.08,1
Candonga,12,1,1.53,0
Candonga,12,2,1.46,0
Candonga,12,3,2.18,1
Candonga,12,4,1.06,0
Candonga,12,5,2.13,1
Candonga,13,1,0.97,0
Candonga,13,2,0.72,0
Candonga,13,3,0.6,0
Candonga,13,4,2.01,1
Candonga,13,5,2.1,1
Candonga,14,1,1.67,1
Candonga,14,2,0.8,0
Candonga,14,3,1.8,1
Candonga,14,4,0.5,0
Candonga,14,5,1.86,1
Candonga,15,1,1.94,1
Candonga,15,2,1.01,0
Candonga,15,3,1.99,1
Candonga,15,4,1.16,0
Candonga,15,5,2.03,1
Candonga,16,1,0.97,0
Candonga,16,2,0.7,0
Candonga,16,3,1.3,0
Candonga,16,4,1.59,1
Candonga,16,5,1.59,0
Candonga,17,1,1.43,1
Candonga,17,2,1.61,1
Candonga,17,3,0.64,0
Candonga,17,4,1.04,0
Candonga,17,5,1.26,0
Candonga,18,1,1.41,0
Candonga,18,2,0.71,0
Candonga,18,3,1.29,1
Candonga,18,4,1.04,0
Candonga,18,5,1.12,1
Candonga,19,1,1.05,1
Candonga,19,2,1.22,1
Candonga,19,3,1.36,1
Candonga,19,4,0.63,0
Candonga,19,5,1.36,1
Candonga,20,1,1.06,1
Candonga,20,2,1.16,1
Candonga,20,3,1.49,1
Candonga,20,4,1.2,1
Candonga,20,5,1.24,1
