pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta
cm,9,3,4254076,,0.72,3.948,0.942,6.853,1170,45,59
cm,9,3,4205908,,0.72,3.948,0.942,6.853,1170,45,59
cm,9,3,4179104,,0.72,3.948,0.942,6.853,1170,45,59
ca,9,1,3476828,,1.56,4.247,1.166,7.138,1350,28,90
ca,9,1,3386796,,1.56,4.247,1.166,7.138,1350,28,90
ca,9,1,3421828,,1.56,4.247,1.166,7.138,1350,28,90
ca,9,2,2814876,,2.3,4.901,1.087,7.8,1350,28,90
ca,9,2,2858812,,2.3,4.901,1.087,7.8,1350,28,90
ca,9,2,2839548,,2.3,4.901,1.087,7.8,1350,28,90
ca,9,3,2586376,,2.16,4.319,0.962,7.71,1350,28,90
ca,9,3,2655596,,2.16,4.319,0.962,7.71,1350,28,90
ca,9,3,2649396,,2.16,4.319,0.962,7.71,1350,28,90
cabal,9,1,3612544,,0.94,4.055,1.015,6.829,,240,80
cabal,9,1,3662072,,0.94,4.055,1.015,6.829,,240,80
cabal,9,1,3653180,,0.94,4.055,1.015,6.829,,240,80
cabal,9,2,2915380,,1.55,4.065,0.877,7.015,,240,80
cabal,9,2,2907184,,1.55,4.065,0.877,7.015,,240,80
cabal,9,2,2921244,,1.55,4.065,0.877,7.015,,240,80
cabal,9,3,3037580,,1.62,3.916,0.992,7.269,,240,80
cabal,9,3,3004196,,1.62,3.916,0.992,7.269,,240,80
cabal,9,3,3043192,,1.62,3.916,0.992,7.269,,240,80
candonga,9,1,2271184,,1.91,4.153,0.968,6.661,,40,100
candonga,9,1,2238932,,1.91,4.153,0.968,6.661,,40,100
candonga,9,1,2264000,,1.91,4.153,0.968,6.661,,40,100
candonga,9,2,2691596,,1.92,4.2,0.997,7.408,,40,100
candonga,9,2,2695168,,1.92,4.2,0.997,7.408,,40,100
candonga,9,2,2666716,,1.92,4.2,0.997,7.408,,40,100
candonga,9,3,2613616,,1.94,4.163,0.985,6.951,,40,100
candonga,9,3,2580380,,1.94,4.163,0.985,6.951,,40,100
candonga,9,3,2617332,,1.94,4.163,0.985,6.951,,40,100
cb,10,1,2663624,,2.37,3.369,1.142,7.141,960,4000,117
cb,10,1,2595280,,2.37,3.369,1.142,7.141,960,4000,117
cb,10,1,2605924,,2.37,3.369,1.142,7.141,960,4000,117
cb,10,2,2678600,,2.25,4.216,1.115,7.453,960,4000,117
cb,10,2,2682812,,2.25,4.216,1.115,7.453,960,4000,117
cb,10,2,2729440,,2.25,4.216,1.115,7.453,960,4000,117
cb,10,3,2155724,,2.05,4.04,0.947,7.367,960,4000,117
cb,10,3,2184420,,2.05,4.04,0.947,7.367,960,4000,117
